slug,source,substrate,severity,prompt_injection,malicious_code,secret_exposure,untrusted_fetch,heuristic_hit_count,heuristic_flags,rationale,classifier_error,content_len,elapsed_s,stars,installs,official_badge,defender_positive
codegraph-mcp,glama,mcp,L0,False,False,False,False,0,,"Benign local code analysis tool. Builds symbol graphs for TypeScript/Python, performs lookup and impact analysis. No external fetches, execution, or credential handling identified.",,240,23.82,0,0,False,False
mcpssh-streamable,glama,mcp,L2,True,False,True,False,0,,Unscoped SSH command execution + credential handling + prompt injection risk to execute arbitrary remote commands on authorized servers,,177,44.82,0,0,False,False
nocobase-mcp-server,glama,mcp,L2,False,False,False,True,0,,"Dynamically generates tools from external OpenAPI spec without validation; requires NocoBase credentials; broad system access (schemas, flows, API ops) amplifies compromise impact.",,262,60.1,0,0,False,False
video-clip-mcp,glama,mcp,L0,False,False,False,False,0,,"Standard video file manipulation tool (clip/merge/split). No prompt injection, malware, credential, or external fetch vectors detected. Typical MCP resource pattern.",,156,16.71,0,0,False,False
emercoin-mcp-server,glama,mcp,L2,False,False,False,True,0,,Untrusted fetch to 100+ external RPC endpoints + wallet/mining operations without explicit auth/credential protection. SSRF and unauthorized transaction risk.,,246,34.68,0,0,False,False
muggleai/muggle,smithery,mcp,L1,False,False,True,False,0,,Vision-based QA automation tool for testing apps. Main risk: screenshots could expose visible UI secrets if developer includes them. No explicit exfiltration or malicious mechanisms.,,331,51.62,0,0,False,False
grok-search-mcp,glama,mcp,L1,False,False,False,True,0,,"Search tool integrating xAI Grok API for web/news/Twitter content. Untrusted fetch is intentional/legitimate. Caching & retry logic suggest responsible implementation. No injection, malware, or creden",,263,18.63,0,0,False,False
tradingview-chart-mcp,glama,mcp,L2,False,False,True,True,0,,External API integration (TradingView) with likely credential requirements. Untrusted content fetch risk; no explicit malicious patterns.,,21,35.97,0,0,False,False
cmuxlayer,glama,mcp,L2,False,False,True,True,0,,"Terminal multiplexer with read_screen (exposes secrets from agent outputs), unscoped send_input/spawn_agent tools, and browser automation. Infrastructure risk, not malicious intent.",,310,50.9,0,0,False,False
ebird-mcp-server,glama,mcp,L0,False,False,False,False,0,,"Read-only data service from trusted eBird source (Cornell Lab). No code execution, prompt injection, or credential exfiltration vectors. Benign ornithology data.",,137,10.79,0,0,False,False
fibonex/mcp-server,smithery,mcp,L1,False,False,False,True,0,,"Non-essential third-party financial service. Fetches external market data for crypto signals. No explicit malware, credential theft, or jailbreak vectors. Financial accuracy/transparency not verifiabl",,219,22.55,0,4042,False,False
