slug,source,substrate,severity,prompt_injection,malicious_code,secret_exposure,untrusted_fetch,heuristic_hit_count,heuristic_flags,rationale,classifier_error,content_len,elapsed_s,stars,installs,official_badge,defender_positive
saharcarmel-sahar-claude-code-marketplace,claudemarketplaces,plugins,L0,False,False,False,False,0,,Personal marketplace for productivity/entertainment plugins. No explicit risk signals; benign category descriptions and curated scope indicate low threat profile.,,88,12.83,2,4,False,False
wannabefro-wanplugins,claudemarketplaces,plugins,,False,False,False,False,0,,,no JSON,35,19.61,0,2,False,False
zach-source-claude-marketplace,claudemarketplaces,plugins,L1,False,False,False,True,0,,"Task queue/workflow orchestration feature with third-party plugin marketplace. Untrusted fetch risk from community plugins, but no code execution, jailbreak, or credential vectors evident.",,71,30.76,1,1,False,False
diegopherlt-dotclaudefiles,claudemarketplaces,plugins,L1,False,False,True,False,0,,"Configuration backup utility. Low risk, but configs may contain API keys/tokens if not sanitized before backup/storage.",,40,16.4,1,3,False,False
hculap-better-code,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Generic curated plugin collection for code quality/productivity. No risk signals, malicious code patterns, prompt injection attempts, or suspicious indicators in description.",,87,27.47,2,5,False,False
sinch-sinch-plugins,claudemarketplaces,plugins,L1,False,False,False,False,0,,Third-party SMS API wrapper. Handles API credentials but no explicit misuse evident. Credential security depends on implementation; standard integration with known service poses minimal standalone ris,,170,44.04,5,1,False,False
detroittommy879-tscircuit-skills,claudemarketplaces,plugins,,False,False,False,False,0,,,no JSON,108,6.67,0,2,False,False
toshimaru-claude-plugins,claudemarketplaces,plugins,,False,False,False,False,0,,,no JSON,22,13.29,0,1,False,False
bilibili,lobehub_plugins,plugins,L0,False,False,False,False,0,,"Legitimate LobeHub web search plugin for Bilibili. Manifest and assets fetched from official LobeHub CDN, no code execution, no credentials embedded, scoped to video search/recommendations.",,599,25.06,0,0,False,False
juliaogris-skills,claudemarketplaces,plugins,,False,False,False,False,0,,,no JSON,47,7.75,0,1,False,False
kbrockhoff-brockhoff-tools-claude,claudemarketplaces,plugins,L1,False,False,False,True,0,,Unknown third-party plugin; insufficient code/documentation provided for detailed assessment. Default conservative L1 classification.,,30,17.86,0,2,False,False
haleyrc-claude-plugins,claudemarketplaces,plugins,,False,False,False,False,0,,,no JSON,44,29.63,0,3,False,False
michael0520-milo-claudekit,claudemarketplaces,plugins,,False,False,False,False,0,,,no JSON,40,16.58,0,15,False,False
siraken-claude-plugins,claudemarketplaces,plugins,,False,False,False,False,0,,,no JSON,24,23.07,0,3,False,False
noahrasheta-shipfast,claudemarketplaces,plugins,L0,False,False,False,False,0,,Generic plugin/skill collection description with no technical specifics or risk indicators. Insufficient detail for threat assessment; no exploit vectors evident in provided text.,,68,32.15,1,2,False,False
timurkhakhalev-cc-plugins,claudemarketplaces,plugins,L0,False,False,False,False,0,,"User-controlled local marketplace; no injection, malware, credential exposure, or untrusted fetch vectors.",,38,8.24,8,3,False,False
mixedbread-ai-mgrep,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Local semantic search utility for code/images/PDFs; no external fetching, execution, injection, or credential risks indicated.",,89,17.91,3977,1,False,False
blerbz-blerbz-plugins,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Name only, no code/manifest provided. Vague 'super powers' terminology requires implementation details to assess. Ambiguous → default L1.",,24,28.05,0,3,False,False
wlevan3-claude-plugins,claudemarketplaces,plugins,L2,False,False,False,True,0,,Plugin marketplace distributes third-party extensions without clear validation/review; plugins execute in Claude Code runtime with system access; untrusted code distribution mechanism.,,40,13.65,0,1,False,False
conarylabs-mira,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Local MCP server with SQLite persistence for sessions and code search. No credential exfiltration, no network exposure, no execution vectors. Potential concern if sessions store auth tokens unencrypte",,172,32.88,6,1,False,False
jmichaelschmidt-skills-public,claudemarketplaces,plugins,L1,False,False,False,True,0,,"Public repo of third-party code; baseline risk of untrusted content or modified skills, but no explicit malicious signals. Skills likely sandboxed by Claude Code framework.",,35,51.0,3,1,False,False
bcasci-hustler-marketplace,claudemarketplaces,plugins,L1,False,False,False,False,0,,"Vague productivity plugin. No explicit malicious patterns, jailbreak attempts, or credential misuse detected. Default to L1 (low) per conservative threshold.",,39,11.19,3,3,False,False
clearclown-claude-code-aida-red,claudemarketplaces,plugins,L1,False,False,False,False,0,,Insufficient data on AIDA specifics. Name suggests agent infrastructure/architecture; no explicit risk signals detected in available context. Defaulting to L1.,,51,24.2,0,1,False,False
mailerlite-mailerlite-skills,claudemarketplaces,plugins,L1,False,False,False,False,0,,Official MailerLite repo; email API integration skill. Empty description prevents full assessment. Early adoption with no reviews. Credential handling expected for email API—no malicious patterns in m,,449,37.16,0,1,False,False
veelenga-aws-sso-mcp,claudemarketplaces,plugins,L2,False,False,False,False,0,,Handles AWS SSO credentials and token refresh; community-maintained with empty description and no documentation. Credential-handling plugins require code review to verify secure practices.,,473,26.94,0,1,False,False
actionbook-rust-skills,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Item definition incomplete—only title provided, no code/functionality/permissions to assess. Cannot evaluate risk without implementation details.",,76,34.28,977,1,False,False
yomiamy-claude-code-plugin,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Insufficient data provided. No code, manifest, or plugin details supplied for analysis. Cannot classify without specifics on functionality, permissions, sources, or dependencies.",,37,42.58,0,2,False,False
eli0shin-cli-lsp-client,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Standard LSP client tool. Background daemon is common pattern. No credential handling, untrusted content, or code execution risks evident.",,58,11.53,51,3,False,False
homericintelligence-projectodyssey,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Benign training framework. No risk signals: no external content fetch, no credential handling, no LLM interface, no shell access.",,34,20.79,17,2,False,False
pproenca-dot-claude,claudemarketplaces,plugins,L2,False,True,False,True,0,,"Distributes third-party plugin code without apparent code review, signing, or validation. Untrusted-fetch vector; malicious plugins could execute arbitrary code. Personal curation raises baseline trus",,40,32.09,0,6,False,False
imyousuf-agentic-test-runner,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Standard test runner using MCP for debugging. No prompt injection, malware, credential misuse, or untrusted fetches. Normal dev tool.",,121,10.32,8,1,False,False
rjroy-adventure-engine-corvran,claudemarketplaces,plugins,L0,False,False,False,False,0,,"Benign game application. No prompt-injection vectors, malware, credential misuse, or system-level authority. Standard web-based RPG with procedural content.",,215,23.06,1,3,False,False
